,,,,
Section,Item,Type,Codelist,XML
,code,xsd:string,Document Category,iati-activities/iati-activity/result/indicator/document-link/category/@code
,language,,,iati-activities/iati-activity/result/indicator/document-link/language
,code,xsd:string,Language,iati-activities/iati-activity/result/indicator/document-link/language/@code
,document-date,,,iati-activities/iati-activity/result/indicator/document-link/document-date
,iso-date,xsd:date,,iati-activities/iati-activity/result/indicator/document-link/document-date/@iso-date
,reference,,,iati-activities/iati-activity/result/indicator/reference
,vocabulary,xsd:string,Indicator Vocabulary,iati-activities/iati-activity/result/indicator/reference/@vocabulary
,code,xsd:string,,iati-activities/iati-activity/result/indicator/reference/@code
,indicator-uri,xsd:anyURI,,iati-activities/iati-activity/result/indicator/reference/@indicator-uri
,baseline,,,iati-activities/iati-activity/result/indicator/baseline
,iso-date,xsd:date,,iati-activities/iati-activity/result/indicator/baseline/@iso-date
,year,xsd:positiveInteger,,iati-activities/iati-activity/result/indicator/baseline/@year
,value,xsd:string,,iati-activities/iati-activity/result/indicator/baseline/@value
,location,,,iati-activities/iati-activity/result/indicator/baseline/location
,ref,xsd:string,,iati-activities/iati-activity/result/indicator/baseline/location/@ref
,dimension,,,iati-activities/iati-activity/result/indicator/baseline/dimension
,name,xsd:string,,iati-activities/iati-activity/result/indicator/baseline/dimension/@name
,value,xsd:string,,iati-activities/iati-activity/result/indicator/baseline/dimension/@value
,document-link,,,iati-activities/iati-activity/result/indicator/baseline/document-link
,url,xsd:anyURI,,iati-activities/iati-activity/result/indicator/baseline/document-link/@url
,format,xsd:string,File Format,iati-activities/iati-activity/result/indicator/baseline/document-link/@format
,title,,,iati-activities/iati-activity/result/indicator/baseline/document-link/title
,narrative,,,iati-activities/iati-activity/result/indicator/baseline/document-link/title/narrative
,,xsd:string,,iati-activities/iati-activity/result/indicator/baseline/document-link/title/narrative/text()
,xml:lang,,Language,iati-activities/iati-activity/result/indicator/baseline/document-link/title/narrative/@xml:lang
,description,,,iati-activities/iati-activity/result/indicator/baseline/document-link/description
,narrative,,,iati-activities/iati-activity/result/indicator/baseline/document-link/description/narrative
,,xsd:string,,iati-activities/iati-activity/result/indicator/baseline/document-link/description/narrative/text()
,xml:lang,,Language,iati-activities/iati-activity/result/indicator/baseline/document-link/description/narrative/@xml:lang
,category,,,iati-activities/iati-activity/result/indicator/baseline/document-link/category
,code,xsd:string,Document Category,iati-activities/iati-activity/result/indicator/baseline/document-link/category/@code
